,x,y,time,R,I,V
0,-22500,-40500,2024-06-30 14:18:38.463237,0.4339166,0.04999792,0.02169493
1,-22500,-40500,2024-06-30 14:18:38.653810,0.4339451,0.04999793,0.02169636
2,-22500,-40500,2024-06-30 14:18:38.835302,0.4339642,0.04999788,0.02169729
3,-22500,-40500,2024-06-30 14:18:39.025263,0.4337011,0.04999793,0.02168416
4,-22500,-40500,2024-06-30 14:18:39.207522,0.4339451,0.04999793,0.02169636
5,-22500,-40500,2024-06-30 14:18:39.390065,0.4339901,0.049998,0.02169864
6,-22500,-40500,2024-06-30 14:18:39.578405,0.433659,0.049998,0.02168208
7,-22500,-40500,2024-06-30 14:18:39.759193,0.4339642,0.04999792,0.02169731
8,-22500,-40500,2024-06-30 14:18:39.948756,0.4340167,0.04999805,0.02169999
9,-22500,-40500,2024-06-30 14:18:40.131811,0.4339642,0.04999792,0.02169731
10,-22500,-40500,2024-06-30 14:18:40.745336,0.4337011,0.04999793,0.02168416
11,-22500,-40500,2024-06-30 14:18:40.935885,0.4336792,0.04999799,0.02168309
12,-22500,-40500,2024-06-30 14:18:41.117457,0.4339642,0.04999788,0.02169729
13,-22500,-40500,2024-06-30 14:18:41.308516,0.4339476,0.04999806,0.02169654
14,-22500,-40500,2024-06-30 14:18:41.489807,0.433659,0.049998,0.02168208
15,-22500,-40500,2024-06-30 14:18:41.680129,0.4336838,0.04999804,0.02168334
16,-22500,-40500,2024-06-30 14:18:41.862117,0.4337139,0.04999806,0.02168485
17,-22500,-40500,2024-06-30 14:18:42.053253,0.4339166,0.04999792,0.02169493
18,-22500,-40500,2024-06-30 14:18:42.235180,0.4337325,0.04999803,0.02168577
19,-22500,-40500,2024-06-30 14:18:42.425830,0.4340017,0.04999804,0.02169923
20,-22500,-40500,2024-06-30 14:18:43.037832,0.4340167,0.04999805,0.02169999
21,-22500,-40500,2024-06-30 14:18:43.228871,0.4339451,0.04999793,0.02169636
22,-22500,-40500,2024-06-30 14:18:43.411162,0.4339642,0.04999792,0.02169731
23,-22500,-40500,2024-06-30 14:18:43.601800,0.4339901,0.049998,0.02169864
24,-22500,-40500,2024-06-30 14:18:43.783669,0.4337325,0.04999803,0.02168577
25,-22500,-40500,2024-06-30 14:18:43.974077,0.4339384,0.04999793,0.02169602
26,-22500,-40500,2024-06-30 14:18:44.156065,0.4337139,0.04999806,0.02168485
27,-22500,-40500,2024-06-30 14:18:44.347104,0.4339451,0.04999793,0.02169636
28,-22500,-40500,2024-06-30 14:18:44.528757,0.4337011,0.04999793,0.02168416
29,-22500,-40500,2024-06-30 14:18:44.719944,0.4340017,0.04999804,0.02169923
30,-18000,-40500,2024-06-30 14:18:45.658751,0.4339642,0.04999788,0.02169729
31,-18000,-40500,2024-06-30 14:18:45.937315,0.4339642,0.04999792,0.02169731
32,-18000,-40500,2024-06-30 14:18:46.119513,0.4339202,0.04999791,0.0216951
33,-18000,-40500,2024-06-30 14:18:46.308906,0.4339483,0.04999798,0.02169654
34,-18000,-40500,2024-06-30 14:18:46.490957,0.4339349,0.04999797,0.02169587
35,-18000,-40500,2024-06-30 14:18:46.681878,0.4339299,0.04999797,0.02169561
36,-18000,-40500,2024-06-30 14:18:46.865292,0.4339293,0.04999804,0.02169561
37,-18000,-40500,2024-06-30 14:18:47.055823,0.4339476,0.04999806,0.02169654
38,-18000,-40500,2024-06-30 14:18:47.237873,0.4339166,0.04999792,0.02169493
39,-18000,-40500,2024-06-30 14:18:47.427517,0.433965,0.04999796,0.02169736
40,-18000,-40500,2024-06-30 14:18:48.034959,0.4337299,0.04999794,0.0216856
41,-18000,-40500,2024-06-30 14:18:48.225389,0.4336792,0.04999799,0.02168309
42,-18000,-40500,2024-06-30 14:18:48.407477,0.4336762,0.04999795,0.02168292
43,-18000,-40500,2024-06-30 14:18:48.597576,0.433659,0.049998,0.02168208
44,-18000,-40500,2024-06-30 14:18:48.779288,0.4336838,0.04999804,0.02168334
45,-18000,-40500,2024-06-30 14:18:48.969806,0.4336525,0.04999793,0.02168173
46,-18000,-40500,2024-06-30 14:18:49.151273,0.4337011,0.04999793,0.02168416
47,-18000,-40500,2024-06-30 14:18:49.341885,0.4337325,0.04999803,0.02168577
48,-18000,-40500,2024-06-30 14:18:49.523153,0.4337139,0.04999806,0.02168485
49,-18000,-40500,2024-06-30 14:18:49.713338,0.4337343,0.04999803,0.02168586
50,-18000,-40500,2024-06-30 14:18:50.319781,0.4339635,0.04999797,0.02169729
51,-18000,-40500,2024-06-30 14:18:50.511024,0.4339436,0.04999793,0.02169628
52,-18000,-40500,2024-06-30 14:18:50.692778,0.4339451,0.04999793,0.02169636
53,-18000,-40500,2024-06-30 14:18:50.883478,0.4339384,0.04999793,0.02169602
54,-18000,-40500,2024-06-30 14:18:51.065104,0.4339866,0.04999802,0.02169847
55,-18000,-40500,2024-06-30 14:18:51.256175,0.4340068,0.04999803,0.02169948
56,-18000,-40500,2024-06-30 14:18:51.438457,0.4340017,0.04999804,0.02169923
57,-18000,-40500,2024-06-30 14:18:51.628088,0.4340167,0.04999805,0.02169999
58,-18000,-40500,2024-06-30 14:18:51.810249,0.4339863,0.04999808,0.02169848
59,-18000,-40500,2024-06-30 14:18:52.000549,0.4339901,0.049998,0.02169864
60,-13500,-40500,2024-06-30 14:18:52.948641,0.4656743,0.04999802,0.02328279
61,-13500,-40500,2024-06-30 14:18:53.138859,0.4656327,0.04999794,0.02328068
62,-13500,-40500,2024-06-30 14:18:53.320795,0.4656475,0.04999797,0.02328143
63,-13500,-40500,2024-06-30 14:18:53.511895,0.4657094,0.04999806,0.02328457
64,-13500,-40500,2024-06-30 14:18:53.693284,0.4657357,0.04999812,0.02328591
65,-13500,-40500,2024-06-30 14:18:53.884368,0.4656762,0.04999798,0.02328287
66,-13500,-40500,2024-06-30 14:18:54.065812,0.4657262,0.04999805,0.0232854
67,-13500,-40500,2024-06-30 14:18:54.256999,0.4656755,0.04999807,0.02328288
68,-13500,-40500,2024-06-30 14:18:54.438227,0.4657246,0.04999804,0.02328531
69,-13500,-40500,2024-06-30 14:18:54.628830,0.4656845,0.04999802,0.0232833
70,-13500,-40500,2024-06-30 14:18:55.241159,0.4646894,0.04999791,0.0232335
71,-13500,-40500,2024-06-30 14:18:55.431481,0.4647041,0.04999799,0.02323427
72,-13500,-40500,2024-06-30 14:18:55.612961,0.4647027,0.049998,0.0232342
73,-13500,-40500,2024-06-30 14:18:55.803777,0.4646873,0.04999802,0.02323344
74,-13500,-40500,2024-06-30 14:18:55.985617,0.4647063,0.04999795,0.02323436
75,-13500,-40500,2024-06-30 14:18:56.167301,0.4647006,0.04999801,0.0232341
76,-13500,-40500,2024-06-30 14:18:56.358304,0.4647003,0.04999804,0.02323411
77,-13500,-40500,2024-06-30 14:18:56.539249,0.4646992,0.04999799,0.02323402
78,-13500,-40500,2024-06-30 14:18:56.728768,0.4647292,0.04999797,0.02323552
79,-13500,-40500,2024-06-30 14:18:56.910583,0.4647306,0.04999805,0.02323562
80,-13500,-40500,2024-06-30 14:18:57.532496,0.4660268,0.04999791,0.02330036
81,-13500,-40500,2024-06-30 14:18:57.722913,0.46602,0.04999792,0.02330003
82,-13500,-40500,2024-06-30 14:18:57.905351,0.4659927,0.04999795,0.02329868
83,-13500,-40500,2024-06-30 14:18:58.096017,0.4659788,0.04999802,0.02329802
84,-13500,-40500,2024-06-30 14:18:58.277969,0.4659994,0.04999794,0.02329901
85,-13500,-40500,2024-06-30 14:18:58.468404,0.4660781,0.04999802,0.02330298
86,-13500,-40500,2024-06-30 14:18:58.650806,0.4660428,0.049998,0.02330121
87,-13500,-40500,2024-06-30 14:18:58.840130,0.4660307,0.04999808,0.02330064
88,-13500,-40500,2024-06-30 14:18:59.022501,0.4660909,0.04999804,0.02330363
89,-13500,-40500,2024-06-30 14:18:59.213303,0.4660913,0.04999803,0.02330365
90,-9000,-40500,2024-06-30 14:19:00.152676,0.5008689,0.049998,0.02504244
91,-9000,-40500,2024-06-30 14:19:00.343181,0.5008336,0.04999796,0.02504066
92,-9000,-40500,2024-06-30 14:19:00.525116,0.500846,0.04999792,0.02504126
93,-9000,-40500,2024-06-30 14:19:00.715962,0.5008703,0.04999802,0.02504253
94,-9000,-40500,2024-06-30 14:19:00.897256,0.5008486,0.04999798,0.02504142
95,-9000,-40500,2024-06-30 14:19:01.087205,0.5008381,0.04999802,0.02504091
96,-9000,-40500,2024-06-30 14:19:01.269436,0.500848,0.04999806,0.02504143
97,-9000,-40500,2024-06-30 14:19:01.459584,0.5008499,0.04999801,0.0250415
98,-9000,-40500,2024-06-30 14:19:01.641330,0.5008544,0.04999807,0.02504176
99,-9000,-40500,2024-06-30 14:19:01.832154,0.5008779,0.04999811,0.02504295
100,-9000,-40500,2024-06-30 14:19:02.444179,0.5013829,0.04999805,0.02506817
101,-9000,-40500,2024-06-30 14:19:02.634357,0.5013191,0.04999802,0.02506496
102,-9000,-40500,2024-06-30 14:19:02.816759,0.5013664,0.04999819,0.02506742
103,-9000,-40500,2024-06-30 14:19:03.006259,0.5013749,0.04999793,0.02506771
104,-9000,-40500,2024-06-30 14:19:03.187860,0.5014061,0.04999807,0.02506934
105,-9000,-40500,2024-06-30 14:19:03.380501,0.501404,0.04999809,0.02506925
106,-9000,-40500,2024-06-30 14:19:03.562785,0.501389,0.04999809,0.02506849
107,-9000,-40500,2024-06-30 14:19:03.753560,0.5014198,0.04999806,0.02507001
108,-9000,-40500,2024-06-30 14:19:03.934784,0.5014129,0.04999804,0.02506966
109,-9000,-40500,2024-06-30 14:19:04.125093,0.501411,0.04999809,0.02506959
110,-9000,-40500,2024-06-30 14:19:04.731753,0.5017049,0.04999796,0.02508422
111,-9000,-40500,2024-06-30 14:19:04.922796,0.5017064,0.04999802,0.02508433
112,-9000,-40500,2024-06-30 14:19:05.104721,0.5016814,0.04999796,0.02508305
113,-9000,-40500,2024-06-30 14:19:05.294981,0.5016893,0.04999802,0.02508347
114,-9000,-40500,2024-06-30 14:19:05.476980,0.5017295,0.04999802,0.02508548
115,-9000,-40500,2024-06-30 14:19:05.667296,0.501724,0.04999806,0.02508522
116,-9000,-40500,2024-06-30 14:19:05.849372,0.5017039,0.04999807,0.02508423
117,-9000,-40500,2024-06-30 14:19:06.040238,0.5017312,0.049998,0.02508555
118,-9000,-40500,2024-06-30 14:19:06.221503,0.5017456,0.04999811,0.02508633
119,-9000,-40500,2024-06-30 14:19:06.411801,0.5017642,0.04999809,0.02508725
120,-4500,-40500,2024-06-30 14:19:07.357813,0.5405547,0.04999802,0.02702666
121,-4500,-40500,2024-06-30 14:19:07.548180,0.5404804,0.04999805,0.02702297
122,-4500,-40500,2024-06-30 14:19:07.729787,0.5404718,0.04999806,0.02702254
123,-4500,-40500,2024-06-30 14:19:07.920788,0.5404355,0.04999798,0.02702068
124,-4500,-40500,2024-06-30 14:19:08.101868,0.5405005,0.049998,0.02702395
125,-4500,-40500,2024-06-30 14:19:08.292995,0.5405211,0.04999819,0.02702508
126,-4500,-40500,2024-06-30 14:19:08.474702,0.5405036,0.04999804,0.02702412
127,-4500,-40500,2024-06-30 14:19:08.665154,0.5405356,0.04999809,0.02702574
128,-4500,-40500,2024-06-30 14:19:08.847168,0.5405198,0.04999813,0.02702498
129,-4500,-40500,2024-06-30 14:19:09.038133,0.54052,0.04999815,0.027025
130,-4500,-40500,2024-06-30 14:19:09.643201,0.5406151,0.04999805,0.0270297
131,-4500,-40500,2024-06-30 14:19:09.833478,0.5405923,0.04999796,0.02702851
132,-4500,-40500,2024-06-30 14:19:10.018165,0.5406117,0.04999804,0.02702953
133,-4500,-40500,2024-06-30 14:19:10.208512,0.5405978,0.04999807,0.02702885
134,-4500,-40500,2024-06-30 14:19:10.389879,0.5405724,0.0499981,0.02702759
135,-4500,-40500,2024-06-30 14:19:10.581205,0.5405755,0.04999812,0.02702776
136,-4500,-40500,2024-06-30 14:19:10.762475,0.5406205,0.04999815,0.02703002
137,-4500,-40500,2024-06-30 14:19:10.952949,0.5406374,0.04999815,0.02703086
138,-4500,-40500,2024-06-30 14:19:11.134460,0.5406443,0.0499981,0.02703119
139,-4500,-40500,2024-06-30 14:19:11.325371,0.5406525,0.04999816,0.02703163
140,-4500,-40500,2024-06-30 14:19:11.935025,0.5401598,0.04999797,0.0270069
141,-4500,-40500,2024-06-30 14:19:12.125111,0.5401194,0.04999802,0.0270049
142,-4500,-40500,2024-06-30 14:19:12.306157,0.5401233,0.04999813,0.02700516
143,-4500,-40500,2024-06-30 14:19:12.497663,0.5401204,0.04999803,0.02700496
144,-4500,-40500,2024-06-30 14:19:12.679236,0.5401238,0.04999806,0.02700514
145,-4500,-40500,2024-06-30 14:19:12.870140,0.5401515,0.04999813,0.02700656
146,-4500,-40500,2024-06-30 14:19:13.051284,0.540117,0.04999804,0.02700479
147,-4500,-40500,2024-06-30 14:19:13.243291,0.540168,0.04999815,0.0270074
148,-4500,-40500,2024-06-30 14:19:13.425286,0.5402185,0.04999816,0.02700993
149,-4500,-40500,2024-06-30 14:19:13.616147,0.5401766,0.04999813,0.02700782
150,0,-40500,2024-06-30 14:19:14.568769,0.5827249,0.049998,0.02913508
151,0,-40500,2024-06-30 14:19:14.759894,0.5826826,0.04999803,0.02913298
152,0,-40500,2024-06-30 14:19:14.942088,0.5826737,0.04999809,0.02913257
153,0,-40500,2024-06-30 14:19:15.132952,0.5826835,0.04999809,0.02913306
154,0,-40500,2024-06-30 14:19:15.314150,0.5827271,0.04999812,0.02913526
155,0,-40500,2024-06-30 14:19:15.505928,0.5827196,0.04999817,0.02913492
156,0,-40500,2024-06-30 14:19:15.686993,0.5827064,0.04999818,0.02913426
157,0,-40500,2024-06-30 14:19:15.878515,0.5826893,0.04999819,0.02913341
158,0,-40500,2024-06-30 14:19:16.060093,0.5827327,0.04999821,0.02913559
159,0,-40500,2024-06-30 14:19:16.250162,0.5827399,0.04999817,0.02913593
160,0,-40500,2024-06-30 14:19:16.858769,0.5826457,0.04999804,0.02913114
161,0,-40500,2024-06-30 14:19:17.049924,0.5826607,0.04999804,0.02913189
162,0,-40500,2024-06-30 14:19:17.231203,0.5826319,0.04999805,0.02913046
163,0,-40500,2024-06-30 14:19:17.421682,0.5826306,0.049998,0.02913036
164,0,-40500,2024-06-30 14:19:17.603922,0.582604,0.04999814,0.02912911
165,0,-40500,2024-06-30 14:19:17.794586,0.5826332,0.04999805,0.02913053
166,0,-40500,2024-06-30 14:19:17.976625,0.5826542,0.04999816,0.02913164
167,0,-40500,2024-06-30 14:19:18.167180,0.5826529,0.04999809,0.02913153
168,0,-40500,2024-06-30 14:19:18.348628,0.582684,0.04999819,0.02913315
169,0,-40500,2024-06-30 14:19:18.538750,0.5827112,0.04999817,0.02913449
170,0,-40500,2024-06-30 14:19:19.152867,0.5825604,0.04999796,0.02912683
171,0,-40500,2024-06-30 14:19:19.343250,0.5825751,0.04999801,0.0291276
172,0,-40500,2024-06-30 14:19:19.524769,0.5825683,0.04999802,0.02912726
173,0,-40500,2024-06-30 14:19:19.714865,0.5825809,0.04999813,0.02912795
174,0,-40500,2024-06-30 14:19:19.897735,0.5825287,0.04999811,0.02912533
175,0,-40500,2024-06-30 14:19:20.087839,0.582533,0.04999817,0.02912559
176,0,-40500,2024-06-30 14:19:20.269962,0.5826222,0.04999817,0.02913004
177,0,-40500,2024-06-30 14:19:20.460148,0.5825751,0.04999816,0.02912768
178,0,-40500,2024-06-30 14:19:20.641925,0.5825967,0.04999817,0.02912877
179,0,-40500,2024-06-30 14:19:20.832307,0.5826282,0.04999823,0.02913038
180,4500,-40500,2024-06-30 14:19:21.779785,0.6250601,0.04999797,0.03125174
181,4500,-40500,2024-06-30 14:19:21.971154,0.6250073,0.04999802,0.03124913
182,4500,-40500,2024-06-30 14:19:22.153114,0.6249795,0.04999812,0.0312478
183,4500,-40500,2024-06-30 14:19:22.344276,0.6250188,0.04999806,0.03124973
184,4500,-40500,2024-06-30 14:19:22.525345,0.6250086,0.04999809,0.03124923
185,4500,-40500,2024-06-30 14:19:22.705801,0.6249872,0.04999816,0.03124822
186,4500,-40500,2024-06-30 14:19:22.894786,0.6250072,0.04999819,0.03124923
187,4500,-40500,2024-06-30 14:19:23.076142,0.6250653,0.04999825,0.03125217
188,4500,-40500,2024-06-30 14:19:23.266487,0.6250072,0.04999815,0.0312492
189,4500,-40500,2024-06-30 14:19:23.448493,0.6250721,0.04999825,0.03125251
190,4500,-40500,2024-06-30 14:19:24.065145,0.6251935,0.04999809,0.03125848
191,4500,-40500,2024-06-30 14:19:24.257358,0.6251681,0.0499981,0.03125722
192,4500,-40500,2024-06-30 14:19:24.438315,0.6251217,0.0499982,0.03125496
193,4500,-40500,2024-06-30 14:19:24.620803,0.6251486,0.04999817,0.03125628
194,4500,-40500,2024-06-30 14:19:24.810780,0.6251452,0.04999818,0.03125612
195,4500,-40500,2024-06-30 14:19:24.991462,0.6251309,0.04999827,0.03125547
196,4500,-40500,2024-06-30 14:19:25.182347,0.6251746,0.04999824,0.03125763
197,4500,-40500,2024-06-30 14:19:25.363763,0.6251931,0.04999826,0.03125856
198,4500,-40500,2024-06-30 14:19:25.555076,0.6251999,0.04999823,0.03125889
199,4500,-40500,2024-06-30 14:19:25.736788,0.6252118,0.04999823,0.03125948
200,4500,-40500,2024-06-30 14:19:26.352384,0.6250307,0.04999806,0.03125032
201,4500,-40500,2024-06-30 14:19:26.543213,0.624972,0.04999801,0.03124736
202,4500,-40500,2024-06-30 14:19:26.725441,0.6249697,0.04999808,0.03124728
203,4500,-40500,2024-06-30 14:19:26.916053,0.6249858,0.04999815,0.03124813
204,4500,-40500,2024-06-30 14:19:27.097060,0.6249891,0.04999817,0.03124831
205,4500,-40500,2024-06-30 14:19:27.278892,0.6249536,0.04999817,0.03124654
206,4500,-40500,2024-06-30 14:19:27.467085,0.6249663,0.04999822,0.03124721
207,4500,-40500,2024-06-30 14:19:27.648623,0.6249902,0.0499982,0.03124838
208,4500,-40500,2024-06-30 14:19:27.838756,0.6249759,0.04999829,0.03124773
209,4500,-40500,2024-06-30 14:19:28.020781,0.6250164,0.04999826,0.03124973
210,9000,-40500,2024-06-30 14:19:28.975288,0.6650283,0.04999829,0.03325028
211,9000,-40500,2024-06-30 14:19:29.165792,0.6649914,0.0499983,0.03324844
212,9000,-40500,2024-06-30 14:19:29.346534,0.6650101,0.04999826,0.03324934
213,9000,-40500,2024-06-30 14:19:29.537270,0.6650674,0.04999827,0.03325222
214,9000,-40500,2024-06-30 14:19:29.719809,0.6650547,0.04999832,0.03325162
215,9000,-40500,2024-06-30 14:19:29.909852,0.6650401,0.04999832,0.03325089
216,9000,-40500,2024-06-30 14:19:30.091687,0.6650621,0.04999827,0.03325196
217,9000,-40500,2024-06-30 14:19:30.281879,0.6650502,0.04999828,0.03325136
218,9000,-40500,2024-06-30 14:19:30.463163,0.6650486,0.04999828,0.03325129
219,9000,-40500,2024-06-30 14:19:30.654562,0.6650428,0.04999835,0.03325104
220,9000,-40500,2024-06-30 14:19:31.258469,0.6652143,0.04999808,0.03325944
221,9000,-40500,2024-06-30 14:19:31.448757,0.6651599,0.04999814,0.03325676
222,9000,-40500,2024-06-30 14:19:31.630147,0.665155,0.04999813,0.03325651
223,9000,-40500,2024-06-30 14:19:31.821554,0.6651664,0.04999812,0.03325707
224,9000,-40500,2024-06-30 14:19:32.003195,0.6651605,0.0499982,0.03325683
225,9000,-40500,2024-06-30 14:19:32.194439,0.6651204,0.04999815,0.03325479
226,9000,-40500,2024-06-30 14:19:32.375970,0.6651732,0.04999825,0.0332575
227,9000,-40500,2024-06-30 14:19:32.566363,0.6651582,0.04999825,0.03325674
228,9000,-40500,2024-06-30 14:19:32.747167,0.6652354,0.04999825,0.0332606
229,9000,-40500,2024-06-30 14:19:32.938022,0.665202,0.04999823,0.03325892
230,9000,-40500,2024-06-30 14:19:33.549782,0.6655299,0.0499981,0.03327523
231,9000,-40500,2024-06-30 14:19:33.740767,0.665538,0.04999812,0.03327565
232,9000,-40500,2024-06-30 14:19:33.923388,0.6655111,0.04999815,0.03327432
233,9000,-40500,2024-06-30 14:19:34.113148,0.6655526,0.04999817,0.03327641
234,9000,-40500,2024-06-30 14:19:34.294443,0.6655331,0.04999827,0.0332755
235,9000,-40500,2024-06-30 14:19:34.485865,0.6655444,0.04999831,0.03327609
236,9000,-40500,2024-06-30 14:19:34.667136,0.6655747,0.04999832,0.03327762
237,9000,-40500,2024-06-30 14:19:34.857501,0.6656028,0.04999831,0.03327902
238,9000,-40500,2024-06-30 14:19:35.039784,0.6656004,0.04999828,0.03327888
239,9000,-40500,2024-06-30 14:19:35.233146,0.665567,0.04999823,0.03327717
240,13500,-40500,2024-06-30 14:19:36.175378,0.7017866,0.04999818,0.03508805
241,13500,-40500,2024-06-30 14:19:36.367341,0.7017929,0.04999817,0.03508836
242,13500,-40500,2024-06-30 14:19:36.550025,0.7017657,0.04999822,0.03508703
243,13500,-40500,2024-06-30 14:19:36.741153,0.7017705,0.04999821,0.03508727
244,13500,-40500,2024-06-30 14:19:36.922302,0.7017583,0.04999824,0.03508668
245,13500,-40500,2024-06-30 14:19:37.112889,0.7017344,0.04999824,0.03508548
246,13500,-40500,2024-06-30 14:19:37.294974,0.7018048,0.04999829,0.03508904
247,13500,-40500,2024-06-30 14:19:37.485670,0.7018034,0.04999827,0.03508896
248,13500,-40500,2024-06-30 14:19:37.667672,0.7018338,0.04999825,0.03509047
249,13500,-40500,2024-06-30 14:19:37.858757,0.7018209,0.04999835,0.03508988
250,13500,-40500,2024-06-30 14:19:38.459780,0.7015055,0.04999817,0.03507399
251,13500,-40500,2024-06-30 14:19:38.650150,0.7014868,0.04999817,0.03507306
252,13500,-40500,2024-06-30 14:19:38.831935,0.7014735,0.04999821,0.03507242
253,13500,-40500,2024-06-30 14:19:39.022304,0.7014645,0.0499982,0.03507197
254,13500,-40500,2024-06-30 14:19:39.204012,0.7014609,0.04999823,0.0350718
255,13500,-40500,2024-06-30 14:19:39.395080,0.7014533,0.04999829,0.03507147
256,13500,-40500,2024-06-30 14:19:39.576271,0.7014253,0.04999823,0.03507002
257,13500,-40500,2024-06-30 14:19:39.766535,0.7014739,0.04999826,0.03507247
258,13500,-40500,2024-06-30 14:19:39.948079,0.7014703,0.0499983,0.03507232
259,13500,-40500,2024-06-30 14:19:40.138757,0.7014781,0.04999831,0.03507272
260,13500,-40500,2024-06-30 14:19:40.752928,0.7023671,0.04999824,0.03511712
261,13500,-40500,2024-06-30 14:19:40.944276,0.7023321,0.0499982,0.03511534
262,13500,-40500,2024-06-30 14:19:41.126308,0.7023417,0.04999825,0.03511586
263,13500,-40500,2024-06-30 14:19:41.316571,0.7023783,0.04999828,0.03511771
264,13500,-40500,2024-06-30 14:19:41.498504,0.7023786,0.04999827,0.03511771
265,13500,-40500,2024-06-30 14:19:41.688178,0.7024237,0.0499983,0.03511999
266,13500,-40500,2024-06-30 14:19:41.871110,0.702439,0.04999828,0.03512074
267,13500,-40500,2024-06-30 14:19:42.061855,0.702397,0.04999827,0.03511864
268,13500,-40500,2024-06-30 14:19:42.243152,0.7023754,0.04999824,0.03511753
269,13500,-40500,2024-06-30 14:19:42.433983,0.7024335,0.04999832,0.03512049
270,18000,-40500,2024-06-30 14:19:43.365762,0.7328826,0.04999825,0.03664285
271,18000,-40500,2024-06-30 14:19:43.557418,0.7328569,0.04999826,0.03664157
272,18000,-40500,2024-06-30 14:19:43.738768,0.7328342,0.04999821,0.03664039
273,18000,-40500,2024-06-30 14:19:43.929239,0.7328533,0.04999825,0.03664138
274,18000,-40500,2024-06-30 14:19:44.110136,0.7329173,0.04999824,0.03664458
275,18000,-40500,2024-06-30 14:19:44.300779,0.7328922,0.04999826,0.03664333
276,18000,-40500,2024-06-30 14:19:44.482674,0.7329158,0.04999829,0.03664454
277,18000,-40500,2024-06-30 14:19:44.673531,0.7328887,0.04999829,0.03664318
278,18000,-40500,2024-06-30 14:19:44.854979,0.7329053,0.04999831,0.03664403
279,18000,-40500,2024-06-30 14:19:45.045235,0.7328887,0.04999831,0.0366432
280,18000,-40500,2024-06-30 14:19:45.658768,0.73222,0.04999819,0.03660967
281,18000,-40500,2024-06-30 14:19:45.849759,0.7322483,0.04999823,0.03661112
282,18000,-40500,2024-06-30 14:19:46.031800,0.7322392,0.04999832,0.03661073
283,18000,-40500,2024-06-30 14:19:46.225130,0.7322525,0.04999832,0.03661139
284,18000,-40500,2024-06-30 14:19:46.406897,0.7322529,0.04999828,0.03661138
285,18000,-40500,2024-06-30 14:19:46.596749,0.7322748,0.04999827,0.03661248
286,18000,-40500,2024-06-30 14:19:46.778774,0.7322747,0.04999828,0.03661247
287,18000,-40500,2024-06-30 14:19:46.969770,0.7322698,0.04999827,0.03661222
288,18000,-40500,2024-06-30 14:19:47.151794,0.7322825,0.04999837,0.03661293
289,18000,-40500,2024-06-30 14:19:47.342111,0.732228,0.04999829,0.03661015
290,18000,-40500,2024-06-30 14:19:47.952372,0.7332372,0.0499981,0.03666047
291,18000,-40500,2024-06-30 14:19:48.142153,0.7332491,0.04999812,0.03666107
292,18000,-40500,2024-06-30 14:19:48.323385,0.7332333,0.04999814,0.0366603
293,18000,-40500,2024-06-30 14:19:48.513938,0.7332661,0.0499982,0.03666198
294,18000,-40500,2024-06-30 14:19:48.696516,0.7332476,0.04999819,0.03666106
295,18000,-40500,2024-06-30 14:19:48.886826,0.7332564,0.04999819,0.03666149
296,18000,-40500,2024-06-30 14:19:49.068756,0.7332676,0.04999826,0.03666211
297,18000,-40500,2024-06-30 14:19:49.259781,0.7332637,0.04999829,0.03666193
298,18000,-40500,2024-06-30 14:19:49.441576,0.7333254,0.04999833,0.03666504
299,18000,-40500,2024-06-30 14:19:49.631654,0.7333174,0.04999828,0.03666461
300,22500,-40500,2024-06-30 14:19:50.591959,0.7630147,0.04999819,0.03814936
301,22500,-40500,2024-06-30 14:19:50.782234,0.7630109,0.04999826,0.03814922
302,22500,-40500,2024-06-30 14:19:50.964258,0.7630157,0.04999831,0.03814949
303,22500,-40500,2024-06-30 14:19:51.155092,0.7630844,0.0499983,0.03815292
304,22500,-40500,2024-06-30 14:19:51.336384,0.763056,0.04999829,0.0381515
305,22500,-40500,2024-06-30 14:19:51.526169,0.7630676,0.04999825,0.03815204
306,22500,-40500,2024-06-30 14:19:51.707736,0.7630479,0.04999827,0.03815107
307,22500,-40500,2024-06-30 14:19:51.898757,0.7630348,0.04999822,0.03815038
308,22500,-40500,2024-06-30 14:19:52.081141,0.763072,0.04999834,0.03815233
309,22500,-40500,2024-06-30 14:19:52.271512,0.7630509,0.04999828,0.03815123
310,22500,-40500,2024-06-30 14:19:52.882929,0.7630087,0.04999819,0.03814905
311,22500,-40500,2024-06-30 14:19:53.073419,0.7629983,0.0499982,0.03814854
312,22500,-40500,2024-06-30 14:19:53.254978,0.7629681,0.04999819,0.03814703
313,22500,-40500,2024-06-30 14:19:53.436345,0.7629942,0.04999823,0.03814836
314,22500,-40500,2024-06-30 14:19:53.626810,0.7629666,0.04999828,0.03814701
315,22500,-40500,2024-06-30 14:19:53.808272,0.7629985,0.04999831,0.03814864
316,22500,-40500,2024-06-30 14:19:53.998757,0.7629825,0.04999821,0.03814776
317,22500,-40500,2024-06-30 14:19:54.181133,0.7629653,0.04999828,0.03814695
318,22500,-40500,2024-06-30 14:19:54.371887,0.7629946,0.04999834,0.03814846
319,22500,-40500,2024-06-30 14:19:54.553585,0.762992,0.04999828,0.03814829
320,22500,-40500,2024-06-30 14:19:55.175213,0.763328,0.0499982,0.03816502
321,22500,-40500,2024-06-30 14:19:55.365563,0.7633222,0.04999824,0.03816477
322,22500,-40500,2024-06-30 14:19:55.547244,0.7633036,0.04999824,0.03816384
